Day,Date,Open,High,Low,Close,Volume
Thu,3/2/2023,43.877,46.694,42.874,46.369,0
Wed,3/1/2023,47.993,48.849,46.12,46.179,0
Tue,2/28/2023,47.359,50.575,47.345,48.156,0
Mon,2/27/2023,49.705,51.473,47.123,47.389,0
Fri,2/24/2023,49.234,49.499,46.728,47.701,0
Thu,2/23/2023,55.572,56.073,51.15,54.982,0
Wed,2/22/2023,54.805,56.162,53.037,53.98,0
Tue,2/21/2023,61.468,61.851,54.334,54.363,0
Fri,2/17/2023,63.072,65.034,61.4,64.739,0
Thu,2/16/2023,64.292,66.105,62.733,63.593,0
Wed,2/15/2023,62.674,66.401,62.038,66.283,0
Tue,2/14/2023,63.303,66.173,61.734,63.62,0
Mon,2/13/2023,64.043,65.74,62.977,65.256,0
Fri,2/10/2023,64.326,64.901,62.829,64.102,0
Thu,2/9/2023,72.593,73.037,65.107,65.433,0
Wed,2/8/2023,73.874,74.348,70.557,70.675,0
Tue,2/7/2023,73.771,75.222,71.758,75.074,0
Mon,2/6/2023,75.777,75.785,73.86,74.127,0
Fri,2/3/2023,76.415,78.36,76.08,76.08,0
Thu,2/2/2023,74.919,77.873,74.785,77.666,0
Wed,2/1/2023,71.039,75.007,69.648,73.349,0
Tue,1/31/2023,66.854,70.388,66.825,70.151,0
Mon,1/30/2023,67.2,68.532,64.959,64.959,0
Fri,1/27/2023,66.815,68.976,66.676,68.176,0
Thu,1/26/2023,68.63,68.837,65.355,67.061,0
Wed,1/25/2023,62.877,66.292,35.366,66.292,0
Tue,1/24/2023,65.937,67.515,65.454,65.74,0
Mon,1/23/2023,64.588,67.83,30.514,66.854,0
Fri,1/20/2023,59.575,63.83,58.54,63.83,0
Thu,1/19/2023,59.787,60.142,55.687,57.991,0
Wed,1/18/2023,68.427,70.227,61.216,61.511,0
Tue,1/17/2023,67.483,68.123,66.086,67.395,0
Fri,1/13/2023,62.061,66.745,61.829,66.509,0
Thu,1/12/2023,58.631,63.183,56.418,63.183,0
Wed,1/11/2023,53.51,57.687,53.186,57.569,0
Tue,1/10/2023,47.581,52.478,47.581,52.389,0
Mon,1/9/2023,47.921,51.622,47.302,47.345,0
Fri,1/6/2023,40.006,46.755,38.119,45.546,0
Thu,1/5/2023,37.942,39.416,18.013,38.443,0
Wed,1/4/2023,36.409,40.625,36.037,39.859,0
Tue,1/3/2023,36.2,38.409,31.958,34.493,0
Fri,12/30/2022,30.95,33.608,15.224,33.49,0
Thu,12/29/2022,26.971,33.637,26.971,33.225,0
Wed,12/28/2022,29.197,30.785,26.096,26.155,0
Tue,12/27/2022,32.069,32.549,29.58,29.727,0
Fri,12/23/2022,32.257,33.177,30.76,33.118,0
Thu,12/22/2022,33.255,33.314,28.999,32.697,0
Wed,12/21/2022,33.842,37.276,33.324,35.867,0
Tue,12/20/2022,31.729,34.282,30.936,32.609,0
Mon,12/19/2022,36.807,36.836,31.689,32.775,0
Fri,12/16/2022,36.692,38.396,34.645,36.876,0
Thu,12/15/2022,42.11,42.286,18.924,38.69,0
Wed,12/14/2022,46.751,48.676,43.853,45.029,0
Tue,12/13/2022,52.526,54.348,45.93,47.076,0
Mon,12/12/2022,44.464,46.87,43.465,46.518,0
Fri,12/9/2022,44.927,46.757,22.483,44.555,0
Thu,12/8/2022,45.542,48.02,44.458,45.894,0
Wed,12/7/2022,46.086,47.699,44.884,44.914,0
Tue,12/6/2022,51.378,51.701,46.497,47.787,0
Mon,12/5/2022,58.048,58.048,51.759,52.258,0
Fri,12/2/2022,54.604,58.446,54.311,58.446,0
Thu,12/1/2022,56.485,57.336,54.871,56.234,0
Wed,11/30/2022,50.22,55.399,48.474,55.399,0
Tue,11/29/2022,49.751,51.247,49.076,49.281,0
Mon,11/28/2022,48.52,48.695,48.226,48.695,0
Fri,11/25/2022,50.849,52.65,50.849,52.006,0
Wed,11/23/2022,49.619,51.596,49.531,51.01,0
Tue,11/22/2022,48.082,49.4,22.606,48.873,0
Mon,11/21/2022,48.931,49.107,47.291,47.379,0
Fri,11/18/2022,51.741,51.741,48.434,49.898,0
Thu,11/17/2022,47.014,49.444,46.78,48.639,0
Wed,11/16/2022,52.385,52.824,49.444,50.146,0
Tue,11/15/2022,54.274,56.06,53.162,53.776,0
Mon,11/14/2022,52.227,53.091,50.601,50.601,0
Fri,11/11/2022,48.842,53.341,48.666,52.608,0
Thu,11/10/2022,43.943,48.242,43.943,48.007,0
Wed,11/9/2022,39.531,40.147,35.729,36.022,0
Tue,11/8/2022,40.51,43.402,38.915,40.381,0
Mon,11/7/2022,39.813,40.48,38.214,39.543,0
Fri,11/4/2022,38.484,39.216,35.06,37.665,0
Thu,11/3/2022,33.45,36.3,32.836,34.621,0
Wed,11/2/2022,42.197,45.01,35.762,35.909,0
Tue,11/1/2022,44.043,44.83,42.544,42.753,0
Mon,10/31/2022,40.594,42.283,39.779,40.798,0
Fri,10/28/2022,35.537,43.236,19.598,43.236,0
Thu,10/27/2022,36.851,37.773,34.722,35.246,0
Wed,10/26/2022,33.848,38.793,33.848,34.84,0
Tue,10/25/2022,27.493,33.751,27.493,33.227,0
Mon,10/24/2022,25.153,26.443,23.615,26.093,0
Fri,10/21/2022,21.41,25.386,20.798,25.066,0
Thu,10/20/2022,22.436,24.41,19.575,20.216,0
Wed,10/19/2022,23.848,25.095,21.241,21.941,0
Tue,10/18/2022,26.626,27.967,24.205,25.139,0
Mon,10/17/2022,20.677,22.987,20.677,22.491,0
Fri,10/14/2022,21.756,22.455,17.556,18.169,0
Thu,10/13/2022,13.506,20.741,12.981,20.362,0
Wed,10/12/2022,15.899,16.92,7.585,16.219,0
Tue,10/11/2022,15.636,18.291,13.886,15.928,0
Mon,10/10/2022,17.148,17.148,7.497,16.54,0
Fri,10/7/2022,21.231,21.231,16.944,16.973,0
Thu,10/6/2022,21.989,24.322,21.785,22.776,0
Wed,10/5/2022,21.26,23.709,19.335,22.601,0
Tue,10/4/2022,19.866,24.555,19.866,24.468,0
Mon,10/3/2022,15.757,17.474,14.298,16.744,0
Fri,9/30/2022,13.748,17.391,13.569,14.094,0
Thu,9/29/2022,15.825,15.825,13.076,14.098,0
Wed,9/28/2022,13.785,18.307,13.435,17.051,0
Tue,9/27/2022,13.343,14.953,12.266,13.464,0
Mon,9/26/2022,13.602,15.708,12.321,12.759,0
Fri,9/23/2022,15.724,15.816,12.405,13.952,0
Thu,9/22/2022,23.097,23.185,17.649,18.174,0
Wed,9/21/2022,27.472,27.763,23.476,23.622,0
Tue,9/20/2022,28.28,28.455,24.759,27.122,0
Mon,9/19/2022,27.997,30.117,13.615,30.117,0
Fri,9/16/2022,31.673,31.692,27.922,31.099,0
Thu,9/15/2022,35.494,38.129,17.094,35.646,0
Wed,9/14/2022,36.871,37.878,35.494,35.814,0
Tue,9/13/2022,41.676,42.258,17.103,36.795,0
Mon,9/12/2022,47.427,49.651,46.624,48.749,0
Fri,9/9/2022,43.252,46.612,43.252,46.118,0
Thu,9/8/2022,35.571,40.809,34.778,40.721,0
Wed,9/7/2022,32.015,38.187,31.812,38.041,0
Tue,9/6/2022,36.483,36.57,31.686,32.355,0
Fri,9/2/2022,40.012,42.047,35.65,36.464,0
Thu,9/1/2022,39.779,39.779,35.563,38.703,0
Wed,8/31/2022,46.51,47.266,20.972,42.67,0
Tue,8/30/2022,50.538,51.018,44.079,45.65,0
Mon,8/29/2022,50.451,52.137,23.589,49.971,0
Fri,8/26/2022,63.631,63.864,53.882,53.911,0
Thu,8/25/2022,61.263,63.999,61.001,63.882,0
Wed,8/24/2022,57.974,61.344,57.334,60.268,0
Tue,8/23/2022,58.818,60.925,57.812,58.307,0
Mon,8/22/2022,61.736,62.056,57.043,57.713,0
Fri,8/19/2022,68.133,68.133,63.716,64.065,0
Thu,8/18/2022,69.278,69.851,68.21,69.531,0
Wed,8/17/2022,71.35,71.553,68.792,69.054,0
Tue,8/16/2022,73.859,74.229,71.99,72.92,0
Mon,8/15/2022,73.037,74.956,72.775,74.724,0
Fri,8/12/2022,72.285,74.455,71.752,74.397,0
Thu,8/11/2022,71.82,74.352,71.325,71.703,0
Wed,8/10/2022,67.783,70.372,67.22,70.052,0
Tue,8/9/2022,69.085,69.114,64.047,64.25,0
Mon,8/8/2022,69.22,71.533,69.027,70.163,0
Fri,8/5/2022,64.19,67.385,64.015,67.035,0
Thu,8/4/2022,65.404,66.599,65.258,66.599,0
Wed,8/3/2022,61.837,65.316,60.904,64.733,0
Tue,8/2/2022,56.755,60.998,56.755,59.58,0
Mon,8/1/2022,56.343,58.915,55.089,57.426,0
Fri,7/29/2022,56.755,58.051,55.296,57.859,0
Thu,7/28/2022,56.179,57.285,52.336,56.405,0
Wed,7/27/2022,50.716,55.273,50.394,55.244,0
Tue,7/26/2022,50.613,50.789,48.38,48.642,0
Mon,7/25/2022,54.715,54.715,51.883,53.11,0
Fri,7/22/2022,59.568,60.251,52.334,54.113,0
Thu,7/21/2022,57.351,59.685,55.672,59.568,0
Wed,7/20/2022,52.026,58.38,52.026,57.709,0
Tue,7/19/2022,45.192,51.734,45.192,51.122,0
Mon,7/18/2022,43.956,46.082,39.936,40.431,0
Fri,7/15/2022,38.73,40.926,36.295,40.926,0
Thu,7/14/2022,36.03,36.459,33.673,35.935,0
Wed,7/13/2022,35.078,39.034,34.555,38.104,0
Tue,7/12/2022,39.29,40.198,36.94,38.191,0
Mon,7/11/2022,42.595,42.712,38.853,38.882,0
Fri,7/8/2022,40.908,43.905,40.529,43.061,0
Thu,7/7/2022,37.154,41.402,37.154,41.024,0
Wed,7/6/2022,35.535,36.893,34.041,35.263,0
Tue,7/5/2022,29.045,35.07,27.532,35.012,0
Fri,7/1/2022,27.561,31.199,26.95,30.85,0
Thu,6/30/2022,25.648,27.889,13.333,27.212,0
Wed,6/29/2022,29.596,29.596,26.484,27.648,0
Tue,6/28/2022,34.65,36.335,28.899,29.567,0
Mon,6/27/2022,34.737,34.737,30.816,33.372,0
Fri,6/24/2022,28.236,32.685,28.236,32.192,0
Thu,6/23/2022,23.369,26.508,22.796,26.189,0
Wed,6/22/2022,18.98,23.224,18.98,21.716,0
Tue,6/21/2022,19.444,22.139,18.806,19.907,0
Fri,6/17/2022,13.839,16.918,13.839,16.078,0
Thu,6/16/2022,15.204,15.291,12.044,12.826,0
Wed,6/15/2022,15.875,20.301,15.875,18.419,0
Tue,6/14/2022,13.635,13.635,13.635,13.635,0
Mon,6/13/2022,13.984,18.766,13.723,13.984,0
Fri,6/10/2022,29.713,29.713,22.531,23.081,0
Thu,6/9/2022,34.266,34.266,1.158,29.134,0
Wed,6/8/2022,34.736,34.736,34.736,34.736,0
Tue,6/7/2022,36.588,36.588,36.588,36.588,0
Mon,6/6/2022,30.601,30.601,30.601,30.601,0
Fri,6/3/2022,30.616,30.616,30.616,30.616,0
Thu,6/2/2022,33.813,33.813,33.813,33.813,0
Wed,6/1/2022,24.942,24.942,24.942,24.942,0
Tue,5/31/2022,26.931,26.931,26.931,26.931,0
Fri,5/27/2022,28.894,28.894,28.894,28.894,0
Thu,5/26/2022,21.143,21.143,21.143,21.143,0
Wed,5/25/2022,16.005,16.005,16.005,16.005,0
Tue,5/24/2022,13.377,13.377,13.377,13.377,0
Mon,5/23/2022,14.967,14.967,14.967,14.967,0
Fri,5/20/2022,13.427,13.427,13.427,13.427,0
Thu,5/19/2022,13.089,13.089,13.089,13.089,0
Wed,5/18/2022,11.905,11.905,11.905,11.905,0
Tue,5/17/2022,16.979,16.979,16.979,16.979,0
Mon,5/16/2022,11.836,11.836,11.836,11.836,0
Fri,5/13/2022,12.081,12.081,12.081,12.081,0
Thu,5/12/2022,7.8968,7.8968,7.8968,7.8968,0
Wed,5/11/2022,6.964,6.964,6.964,6.964,0
Tue,5/10/2022,8.4998,8.4998,8.4998,8.4998,0
Mon,5/9/2022,8.5882,8.5882,8.5882,8.5882,0
Fri,5/6/2022,14.207,14.207,14.207,14.207,0
Thu,5/5/2022,16.673,16.673,16.673,16.673,0
Wed,5/4/2022,25.306,25.306,25.306,25.306,0
Tue,5/3/2022,18.995,18.995,18.995,18.995,0
Mon,5/2/2022,17.73,17.73,17.73,17.73,0
Fri,4/29/2022,16.063,16.063,16.063,16.063,0
Thu,4/28/2022,20.086,20.086,20.086,20.086,0
Wed,4/27/2022,16.758,16.758,16.758,16.758,0
Tue,4/26/2022,16.143,16.143,16.143,16.143,0
Mon,4/25/2022,24.116,24.116,24.116,24.116,0
Fri,4/22/2022,22.436,22.436,22.436,22.436,0
Thu,4/21/2022,27.486,27.486,27.486,27.486,0
Wed,4/20/2022,34.013,34.013,34.013,34.013,0
Tue,4/19/2022,33.554,33.554,33.554,33.554,0
Mon,4/18/2022,28.048,28.048,28.048,28.048,0
Thu,4/14/2022,32.835,32.835,32.835,32.835,0
Wed,4/13/2022,36.099,36.099,36.099,36.099,0
Tue,4/12/2022,31.112,31.112,31.112,31.112,0
Mon,4/11/2022,31.712,31.712,31.712,31.712,0
Fri,4/8/2022,36.238,36.238,36.238,36.238,0
Thu,4/7/2022,39.183,39.183,39.183,39.183,0
Wed,4/6/2022,41.784,41.784,41.784,41.784,0
Tue,4/5/2022,48.992,48.992,48.992,48.992,0
Mon,4/4/2022,57.348,57.348,57.348,57.348,0
Fri,4/1/2022,52.767,52.767,52.767,52.767,0
Thu,3/31/2022,49.696,49.696,49.696,49.696,0
Wed,3/30/2022,54.251,54.251,54.251,54.251,0
Tue,3/29/2022,61.221,61.221,61.221,61.221,0
Mon,3/28/2022,50.057,50.057,50.057,50.057,0
Fri,3/25/2022,49.847,49.847,49.847,49.847,0
Thu,3/24/2022,52.121,52.121,52.121,52.121,0
Wed,3/23/2022,45.867,45.867,45.867,45.867,0
Tue,3/22/2022,50.82,50.82,50.82,50.82,0
Mon,3/21/2022,43.588,43.588,43.588,43.588,0
Fri,3/18/2022,46.779,46.779,46.779,46.779,0
Thu,3/17/2022,39.521,39.521,39.521,39.521,0
Wed,3/16/2022,31.385,31.385,31.385,31.385,0
Tue,3/15/2022,22.261,22.261,22.261,22.261,0
Mon,3/14/2022,19.52,19.52,19.52,19.52,0
Fri,3/11/2022,23.274,23.274,23.274,23.274,0
Thu,3/10/2022,26.592,26.592,26.592,26.592,0
Wed,3/9/2022,27.657,27.657,27.657,27.657,0
Tue,3/8/2022,21.955,21.955,21.955,21.955,0
Mon,3/7/2022,19.883,19.883,19.883,19.883,0
Fri,3/4/2022,22.788,22.788,22.788,22.788,0
Thu,3/3/2022,26.399,26.399,26.399,26.399,0
Wed,3/2/2022,30.165,30.165,30.165,30.165,0
Tue,3/1/2022,23.912,23.912,23.912,23.912,0
Mon,2/28/2022,28.303,28.303,28.303,28.303,0
Fri,2/25/2022,27.326,27.326,27.326,27.326,0
Thu,2/24/2022,20.592,20.592,20.592,20.592,0
Wed,2/23/2022,16.621,16.621,16.621,16.621,0
Tue,2/22/2022,19.58,19.58,19.58,19.58,0
Fri,2/18/2022,23.471,23.471,23.471,23.471,0
Thu,2/17/2022,25.326,25.326,25.326,25.326,0
Wed,2/16/2022,32.888,32.888,32.888,32.888,0
Tue,2/15/2022,32.447,32.447,32.447,32.447,0
Mon,2/14/2022,22.449,22.449,22.449,22.449,0
Fri,2/11/2022,24.886,24.886,24.886,24.886,0
Thu,2/10/2022,28.539,28.539,28.539,28.539,0
Wed,2/9/2022,31.777,31.777,31.777,31.777,0
Tue,2/8/2022,25.18,25.18,25.18,25.18,0
Mon,2/7/2022,20.608,20.608,20.608,20.608,0
Fri,2/4/2022,18.5,18.5,18.5,18.5,0
Thu,2/3/2022,16.236,16.236,16.236,16.236,0
Wed,2/2/2022,19.932,19.932,19.932,19.932,0
Tue,2/1/2022,20.69,20.69,20.69,20.69,0
Mon,1/31/2022,17.996,17.996,17.996,17.996,0
Fri,1/28/2022,12.089,12.089,12.089,12.089,0
Thu,1/27/2022,10.34,10.34,10.34,10.34,0
Wed,1/26/2022,11.986,11.986,11.986,11.986,0
Tue,1/25/2022,13.263,13.263,13.263,13.263,0
Mon,1/24/2022,13.524,13.524,13.524,13.524,0
Fri,1/21/2022,11.945,11.945,11.945,11.945,0
Thu,1/20/2022,15.314,15.314,15.314,15.314,0
Wed,1/19/2022,17.613,17.613,17.613,17.613,0
Tue,1/18/2022,19.803,19.803,19.803,19.803,0
Fri,1/14/2022,24.814,24.814,24.814,24.814,0
Thu,1/13/2022,24.092,24.092,24.092,24.092,0
Wed,1/12/2022,25.635,25.635,25.635,25.635,0
Tue,1/11/2022,26.728,26.728,26.728,26.728,0
Mon,1/10/2022,22.828,22.828,22.828,22.828,0
Fri,1/7/2022,23.699,23.699,23.699,23.699,0
Thu,1/6/2022,26.144,26.144,26.144,26.144,0
Wed,1/5/2022,25.494,25.494,25.494,25.494,0
Tue,1/4/2022,33.98,33.98,33.98,33.98,0
Mon,1/3/2022,35.055,35.055,35.055,35.055,0
Fri,12/31/2021,31.222,31.222,31.222,31.222,0
Thu,12/30/2021,31.423,31.423,31.423,31.423,0
Wed,12/29/2021,29.858,29.858,29.858,29.858,0
Tue,12/28/2021,31.135,31.135,31.135,31.135,0
Mon,12/27/2021,32.272,32.272,32.272,32.272,0
Thu,12/23/2021,29.382,29.382,29.382,29.382,0
Wed,12/22/2021,25.746,25.746,25.746,25.746,0
Tue,12/21/2021,23.223,23.223,23.223,23.223,0
Mon,12/20/2021,17.494,17.494,17.494,17.494,0
Fri,12/17/2021,19.905,19.905,19.905,19.905,0
Thu,12/16/2021,19.134,19.134,19.134,19.134,0
Wed,12/15/2021,21.68,21.68,21.68,21.68,0
Tue,12/14/2021,19.145,19.145,19.145,19.145,0
Mon,12/13/2021,21.397,21.397,21.397,21.397,0
Fri,12/10/2021,24.507,24.507,24.507,24.507,0
Thu,12/9/2021,24.618,24.618,24.618,24.618,0
Wed,12/8/2021,30.414,30.414,30.414,30.414,0
Tue,12/7/2021,27.303,27.303,27.303,27.303,0
Mon,12/6/2021,21.45,21.45,21.45,21.45,0
Fri,12/3/2021,18.628,18.628,18.628,18.628,0
Thu,12/2/2021,23.146,23.146,23.146,23.146,0
Wed,12/1/2021,19.895,19.895,19.895,19.895,0
Tue,11/30/2021,24.216,24.216,24.216,24.216,0
Mon,11/29/2021,28.615,28.615,28.615,28.615,0
Fri,11/26/2021,29.996,29.996,29.996,29.996,0
Wed,11/24/2021,37.385,37.385,37.385,37.385,0
Tue,11/23/2021,36.72,36.72,36.72,36.72,0
Mon,11/22/2021,38.623,38.623,38.623,38.623,0
Fri,11/19/2021,41.064,41.064,41.064,41.064,0
Thu,11/18/2021,43.109,43.109,43.109,43.109,0
Wed,11/17/2021,47.766,47.766,47.766,47.766,0
Tue,11/16/2021,50.734,50.734,50.734,50.734,0
Mon,11/15/2021,51.669,51.669,51.669,51.669,0
Fri,11/12/2021,52.895,52.895,52.895,52.895,0
Thu,11/11/2021,52.496,52.496,52.496,52.496,0
Wed,11/10/2021,50.762,50.762,50.762,50.762,0
Tue,11/9/2021,57.345,57.345,57.345,57.345,0
Mon,11/8/2021,59.032,59.032,59.032,59.032,0
Fri,11/5/2021,57.075,57.075,57.075,57.075,0
Thu,11/4/2021,56.344,56.344,56.344,56.344,0
Wed,11/3/2021,57.639,57.639,57.639,57.639,0
Tue,11/2/2021,53.25,53.25,53.25,53.25,0
Mon,11/1/2021,54.418,54.418,54.418,54.418,0
Fri,10/29/2021,45.199,45.199,45.199,45.199,0
Thu,10/28/2021,46.417,46.417,46.417,46.417,0
Wed,10/27/2021,41.039,41.039,41.039,41.039,0
Tue,10/26/2021,46.607,46.607,46.607,46.607,0
Mon,10/25/2021,47.77,47.77,47.77,47.77,0
Fri,10/22/2021,44.972,44.972,44.972,44.972,0
Thu,10/21/2021,46.913,46.913,46.913,46.913,0
Wed,10/20/2021,46.899,46.899,46.899,46.899,0
Tue,10/19/2021,45.041,45.041,45.041,45.041,0
Mon,10/18/2021,42.013,42.013,42.013,42.013,0
Fri,10/15/2021,43.619,43.619,43.619,43.619,0
Thu,10/14/2021,43.185,43.185,43.185,43.185,0
Wed,10/13/2021,38.867,38.867,38.867,38.867,0
Tue,10/12/2021,36.798,36.798,36.798,36.798,0
Mon,10/11/2021,35.844,35.844,35.844,35.844,0
Fri,10/8/2021,37.076,37.076,37.076,37.076,0
Thu,10/7/2021,38.917,38.917,38.917,38.917,0
Wed,10/6/2021,34.301,34.301,34.301,34.301,0
Tue,10/5/2021,34.873,34.873,34.873,34.873,0
Mon,10/4/2021,33.764,33.764,33.764,33.764,0
Fri,10/1/2021,38.75,38.75,38.75,38.75,0
Thu,9/30/2021,35.753,35.753,35.753,35.753,0
Wed,9/29/2021,36.47,36.47,36.47,36.47,0
Tue,9/28/2021,39.907,39.907,39.907,39.907,0
Mon,9/27/2021,49.941,49.941,49.941,49.941,0
Fri,9/24/2021,46.389,46.389,46.389,46.389,0
Thu,9/23/2021,48.154,48.154,48.154,48.154,0
Wed,9/22/2021,41.07,41.07,41.07,41.07,0
Tue,9/21/2021,35.56,35.56,35.56,35.56,0
Mon,9/20/2021,33.87,33.87,33.87,33.87,0
Fri,9/17/2021,44.571,44.571,44.571,44.571,0
Thu,9/16/2021,43.939,43.939,43.939,43.939,0
Wed,9/15/2021,43.335,43.335,43.335,43.335,0
Tue,9/14/2021,39.548,39.548,39.548,39.548,0
Mon,9/13/2021,45.299,45.299,45.299,45.299,0
Fri,9/10/2021,44.356,44.356,44.356,44.356,0
Thu,9/9/2021,47.509,47.509,47.509,47.509,0
Wed,9/8/2021,45.908,45.908,45.908,45.908,0
Tue,9/7/2021,50.02,50.02,50.02,50.02,0
Fri,9/3/2021,52.756,52.756,52.756,52.756,0
Thu,9/2/2021,54.285,54.285,54.285,54.285,0
Wed,9/1/2021,51.772,51.772,51.772,51.772,0
Tue,8/31/2021,50.119,50.119,50.119,50.119,0
Mon,8/30/2021,45.827,45.827,45.827,45.827,0
Fri,8/27/2021,47.909,47.909,47.909,47.909,0
Thu,8/26/2021,39.22,39.22,39.22,39.22,0
Wed,8/25/2021,41.577,41.577,41.577,41.577,0
Tue,8/24/2021,38.969,38.969,38.969,38.969,0
Mon,8/23/2021,35.516,35.516,35.516,35.516,0
Fri,8/20/2021,28.737,28.737,28.737,28.737,0
Thu,8/19/2021,22.82,22.82,22.82,22.82,0
Wed,8/18/2021,26.887,26.887,26.887,26.887,0
Tue,8/17/2021,28.537,28.537,28.537,28.537,0
Mon,8/16/2021,31.91,31.91,31.91,31.91,0
Fri,8/13/2021,35.114,35.114,35.114,35.114,0
Thu,8/12/2021,36.893,36.893,36.893,36.893,0
Wed,8/11/2021,37.364,37.364,37.364,37.364,0
Tue,8/10/2021,36.738,36.738,36.738,36.738,0
Mon,8/9/2021,35.55,35.55,35.55,35.55,0
Fri,8/6/2021,36.685,36.685,36.685,36.685,0
