Day,Date,Open,High,Low,Close,Volume
Thu,3/2/2023,54,59.2,54,59.2,0
Wed,3/1/2023,57.2,58.2,54.8,56.2,0
Tue,2/28/2023,58.2,61.4,57.2,57.8,0
Mon,2/27/2023,63.4,65,59,59.8,0
Fri,2/24/2023,59,60,56.4,59.8,0
Thu,2/23/2023,64,65.2,59.8,63,0
Wed,2/22/2023,63,64.8,61.2,62.4,0
Tue,2/21/2023,66.6,67.4,61.4,63,0
Fri,2/17/2023,67.8,69.8,66,68.8,0
Thu,2/16/2023,68.6,71.6,67.6,68.8,0
Wed,2/15/2023,70,72.2,68.8,72.2,0
Tue,2/14/2023,70.2,73.2,69,71.8,0
Mon,2/13/2023,69.8,72.8,69.8,72.2,0
Fri,2/10/2023,67.8,71,67.8,70.8,0
Thu,2/9/2023,71.8,72.2,68,68.4,0
Wed,2/8/2023,71.4,72.2,70.2,70.6,0
Tue,2/7/2023,70,74,69,72.8,0
Mon,2/6/2023,71,71.6,69.6,71.4,0
Fri,2/3/2023,74.2,75.8,72.2,73.2,0
Thu,2/2/2023,75,79.8,74.6,78,0
Wed,2/1/2023,69.4,77.8,68.8,74.4,0
Tue,1/31/2023,66.6,72.4,66,72.4,0
Mon,1/30/2023,66.6,69,65,65.4,0
Fri,1/27/2023,66,69.4,65.4,68.6,0
Thu,1/26/2023,66.2,67.2,64.4,67.2,0
Wed,1/25/2023,62,65.6,30.4,65.2,0
Tue,1/24/2023,64.4,66.4,63.2,65.6,0
Mon,1/23/2023,63,68.2,32.6,66.4,0
Fri,1/20/2023,57.2,62.2,56.6,62.2,0
Thu,1/19/2023,57.8,58.6,55.4,56.8,0
Wed,1/18/2023,66,66.2,59.2,59.8,0
Tue,1/17/2023,66.4,68,64.2,65.2,0
Fri,1/13/2023,63.6,66.8,62.4,66.2,0
Thu,1/12/2023,67.4,68,63.6,66.6,0
Wed,1/11/2023,62,65,61.8,65,0
Tue,1/10/2023,57.2,60.8,55.4,60.8,0
Mon,1/9/2023,58.4,61.8,56.6,57.2,0
Fri,1/6/2023,53.8,58.8,51.8,57.6,0
Thu,1/5/2023,51.6,52,26,49,0
Wed,1/4/2023,52.4,55.8,51.2,53.2,0
Tue,1/3/2023,52.2,53.6,47,49.8,0
Fri,12/30/2022,51.4,52,26.4,50,0
Thu,12/29/2022,50.6,53.8,50.2,52.6,0
Wed,12/28/2022,52,54.2,48.6,49,0
Tue,12/27/2022,52,53.4,50.6,52.8,0
Fri,12/23/2022,49.8,52,48,51.8,0
Thu,12/22/2022,48.8,50.2,44.4,50.2,0
Wed,12/21/2022,49.6,52.4,49.2,52,0
Tue,12/20/2022,46.6,48.6,45.8,47.8,0
Mon,12/19/2022,49.8,50.8,46,48,0
Fri,12/16/2022,50,51,47.6,49.4,0
Thu,12/15/2022,56.6,56.8,28,53,0
Wed,12/14/2022,63.6,66,58.4,60.8,0
Tue,12/13/2022,67.2,68.2,61.8,64,0
Mon,12/12/2022,56.6,61.2,55.8,61.2,0
Fri,12/9/2022,56.4,58.6,31,56.2,0
Thu,12/8/2022,57,59.4,56.2,57.8,0
Wed,12/7/2022,56.2,57.8,55.2,56,0
Tue,12/6/2022,58.8,59.4,55.4,57,0
Mon,12/5/2022,62.2,62.6,57.8,59.6,0
Fri,12/2/2022,62.4,64.4,61.6,63.8,0
Thu,12/1/2022,66.6,66.6,64,65,0
Wed,11/30/2022,58.2,64.6,57.4,64.6,0
Tue,11/29/2022,58,59.6,57,58.2,0
Mon,11/28/2022,58.4,58.6,57.6,58.2,0
Fri,11/25/2022,62.4,63.4,61.8,63.2,0
Wed,11/23/2022,59.6,62.2,59.6,61.8,0
Tue,11/22/2022,58,59.8,31.6,59.8,0
Mon,11/21/2022,55.4,57.6,55.4,56.4,0
Fri,11/18/2022,57.2,57.6,53.4,56.2,0
Thu,11/17/2022,49.8,52.4,47.8,51.6,0
Wed,11/16/2022,55.6,56,53,53.4,0
Tue,11/15/2022,57.6,58.6,52.8,55.2,0
Mon,11/14/2022,55.2,58.2,52.4,52.6,0
Fri,11/11/2022,54.2,56.2,52.2,55.6,0
Thu,11/10/2022,44.2,53.8,44.2,53.6,0
Wed,11/9/2022,40.4,42.2,37.6,37.6,0
Tue,11/8/2022,41,43.4,39.6,41.4,0
Mon,11/7/2022,39.2,40.6,36.8,40.6,0
Fri,11/4/2022,37.4,39.2,32.6,37.2,0
Thu,11/3/2022,30.6,35.8,30.4,33.8,0
Wed,11/2/2022,37.4,42.6,34,34.4,0
Tue,11/1/2022,40.6,40.6,36.6,38,0
Mon,10/31/2022,37.8,39,36.6,37.6,0
Fri,10/28/2022,33,39.2,21.6,38.878,0
Thu,10/27/2022,32.8,35.2,32,32.2,0
Wed,10/26/2022,30.6,34.4,30.2,31,0
Tue,10/25/2022,25.4,29.8,25.4,29.6,0
Mon,10/24/2022,24,25.8,23,24.8,0
Fri,10/21/2022,18.4,23,17.4,22.6,0
Thu,10/20/2022,19.2,21,17,18.2,0
Wed,10/19/2022,21.4,21.6,18.8,20.2,0
Tue,10/18/2022,22.8,23.2,20.2,22,0
Mon,10/17/2022,18.2,19.8,18.2,19,0
Fri,10/14/2022,20.2,21.2,15.2,15.2,0
Thu,10/13/2022,12.6,19.6,12.2,18.8,0
Wed,10/12/2022,16.4,17.4,8.2,16.4,0
Tue,10/11/2022,16.6,19,15.8,16.6,0
Mon,10/10/2022,17,17.8,8.4,16.4,0
Fri,10/7/2022,18.6,18.6,16.2,17,0
Thu,10/6/2022,22.2,23.2,20,20.4,0
Wed,10/5/2022,21.2,24,19.8,22.6,0
Tue,10/4/2022,19,23,19,22.8,0
Mon,10/3/2022,14.2,17.6,13.4,16.8,0
Fri,9/30/2022,13.4,14.8,12.2,12.2,0
Thu,9/29/2022,15,15,12.2,13.2,0
Wed,9/28/2022,12.2,16.6,11.8,15.4,0
Tue,9/27/2022,13.8,15,10.6,11.4,0
Mon,9/26/2022,15.6,15.8,11.6,12.6,0
Fri,9/23/2022,17.2,17.4,12.4,15,0
Thu,9/22/2022,23.2,23.2,20,20.2,0
Wed,9/21/2022,28.6,29.4,24.2,24.2,0
Tue,9/20/2022,27.6,27.6,25,26.2,0
Mon,9/19/2022,26.4,29.2,13.4,29,0
Fri,9/16/2022,27,28.4,25.2,27.6,0
Thu,9/15/2022,30.6,33,14,29.4,0
Wed,9/14/2022,31.8,32.8,29,31.6,0
Tue,9/13/2022,37,38.2,15,32,0
