time,open,high,low,close,Chars,EMA,EMA2,EMA3,Volume,%K,%D,Shapes,Shapes,Shapes,Histogram,MACD,Signal
2002-04-04,63.19,63.19,63.19,63.19,NaN,62.936577146585144,60.46939618461518,NaN,NaN,42,48,NaN,NaN,NaN,-0.3645480973353634,1.1617609460469112,1.5263090433822746
2002-04-05,63.04,63.04,63.04,63.04,NaN,62.94597922416831,60.570204177375366,NaN,NaN,31,36,NaN,NaN,NaN,-0.40090347959688133,1.025179693886173,1.4260831734830544
2002-04-08,63.05,63.05,63.05,63.05,NaN,62.95543565833483,60.66745107238025,NaN,NaN,27,30,NaN,NaN,NaN,-0.41503745745471043,0.9072863516646663,1.3223238091193767
2002-04-09,62.98,62.98,62.98,62.98,NaN,62.95766878030439,60.758139265620244,NaN,NaN,25,26,NaN,NaN,NaN,-0.4186620218442798,0.798996281814027,1.2176583036583069
2002-04-10,64.55,64.55,64.55,64.55,NaN,63.10242616391308,60.90683968657631,NaN,NaN,50,41,NaN,NaN,NaN,-0.3098942997231313,0.8302904290043926,1.140184728727524
2002-04-11,62.88,62.88,62.88,62.88,NaN,63.08220560355735,60.98421852239685,NaN,NaN,32,34,NaN,NaN,NaN,-0.34244597251620634,0.7121272630822659,1.0545732355984723
2002-04-12,64.36,64.36,64.36,64.36,NaN,63.19836873050668,61.116602109753835,NaN,NaN,55,47,NaN,NaN,NaN,-0.26006134708627293,0.7294965517406311,0.989557898826904
2002-04-15,64.41,64.41,64.41,64.41,NaN,63.308517027733345,61.24575496819486,NaN,NaN,64,57,NaN,NaN,NaN,-0.20062214165970005,0.738780221752279,0.939402363411979
2002-04-16,66.83,66.83,66.83,66.83,NaN,63.628651843393946,61.46474496944212,NaN,NaN,87,77,NaN,NaN,NaN,-0.006975460641274411,0.9306830376103861,0.9376584982516605
2002-04-17,66.95,66.95,66.95,66.95,NaN,63.930592584903586,61.67985300985616,NaN,NaN,95,88,NaN,NaN,NaN,0.11387385874746536,1.0800008216859922,0.9661269629385268
